term	synonyms	meaning
밸류에이션	Valuation	"스타트업 밸류에이션은 기업의 가치를 평가하는 과정입니다. 간단히 말해, "이 스타트업은 얼마의 가치가 있을까?"를 숫자로 나타내는 것입니다. 밸류에이션은 투자 유치, 인수합병, 스톡옵션 부여 등 다양한 상황에서 중요한 역할을 합니다."
밸류체인	Value Chain	"밸류체인은 제품이나 서비스가 아이디어 단계에서 시작하여 고객에게 전달되기까지의 모든 과정을 의미합니다. 각 단계마다 가치가 더해지는 일련의 활동들을 연결한 것이죠. 밸류체인 분석을 통해 기업은 각 단계에서 어떻게 가치를 창출하고 비용을 절감할 수 있는지 파악하여 경쟁 우위를 확보할 수 있습니다."
벤처 캐피탈	VC,Venture Capital	"벤처 캐피탈은 혁신적인 기술이나 아이디어를 가진 신생 기업(스타트업)에 투자하는 금융 기관입니다. 높은 성장 가능성을 가진 스타트업에 자금을 지원하고 경영 자문, 네트워킹 등 다양한 지원을 제공하여 기업의 성장을 돕는 역할을 합니다."
사일로	Silo	"스타트업에서 사일로는 부서 간, 팀 간의 소통 부족으로 발생하는 고립 현상을 의미합니다. 마치 곡식을 저장하는  silos처럼 각 팀이 서로 단절되어 정보 공유나 협업이 원활하지 않은 상태를 비유적으로 표현하는 말입니다."
스쿼드	Squad	"특정 목표 달성을 위해 구성된 작고 독립적인 팀을 의미합니다. 각 스쿼드는 제품 개발, 마케팅, 디자인 등 특정 분야에 대한 전문성을 갖춘 구성원들로 이루어지며, 자율적으로 의사 결정하고 책임을 지는 구조로 운영됩니다."
스크럼	Scrum	"스크럼은 복잡하고 변화가 많은 프로젝트를 관리하기 위한 애자일(Agile) 개발 방법론 중 하나입니다. 럭비 경기에서 선수들이 뭉쳐서 앞으로 나아가는 모습에서 유래한 용어로, 팀원들이 협력하여 목표를 달성하는 데 중점을 둡니다."
스프린트	Sprint	"스프린트는 애자일(Agile) 개발 방법론, 특히 스크럼(Scrum)에서 사용되는 용어로, 짧고 집중적인 개발 주기를 의미합니다. 일반적으로 1주에서 4주 정도의 기간 동안 팀은 특정 목표를 설정하고 해당 목표를 달성하기 위해 노력합니다. 스프린트는 빠른 피드백과 지속적인 개선을 통해 제품이나 서비스의 가치를 높이는 데 중점을 둡니다."
시드	Seed	"스타트업의 초기 단계에 이루어지는 첫 번째 공식적인 투자 유치 단계입니다. 씨앗(seed)이라는 이름처럼, 스타트업이 사업을 시작하고 성장하는 데 필요한 초기 자금을 지원하는 역할을 합니다."
시리즈 A	Series A	"스타트업 투자는 기업의 성장 단계에 따라 시드(Seed), 시리즈 A, 시리즈 B, 시리즈 C 등으로 나뉘는데, 시리즈 A는 시드 투자 이후 본격적인 성장을 위한 자금을 확보하는 단계를 의미합니다."
시리즈 B	Series B	"시리즈 B 투자는 스타트업이 시리즈 A 투자 이후 본격적인 성장을 가속화하기 위해 받는 투자 단계입니다. 이 단계에서는 제품/서비스가 시장에서 어느 정도 검증되었고, 수익 모델도 어느 정도 확립된 상태입니다."
시리즈 C	Series C	"시리즈 C 투자는 스타트업이 시리즈 B 투자 이후 기업 규모를 더욱 확장하고 시장 지배력을 강화하기 위해 받는 투자 단계입니다. 이 단계에서는 이미 안정적인 수익 모델을 확보하고 급격한 성장을 경험하고 있는 경우가 많습니다."
아젠다	Agenda	"회의나 미팅에서 논의할 주제 또는 안건 목록을 의미합니다. 회의 목표를 명확히 하고 효율적으로 진행하기 위해 미리 아젠다를 작성하고 공유하는 것이 중요합니다."
애자일	Agile	"애자일은 소프트웨어 개발 방법론 중 하나로, 변화에 유연하게 대응하고 빠르게 결과물을 만들어내는 것에 중점을 둡니다. 전통적인 개발 방법론인 워터폴(Waterfall) 모델과 달리, 애자일은 짧은 주기로 개발하고 테스트하며, 고객 피드백을 반영하여 지속적으로 개선해 나가는 방식입니다."
액션 아이템	Action Item	"액션 아이템은 회의, 미팅, 프로젝트 등에서 논의된 내용을 바탕으로 실제로 실행해야 할 구체적인 과제를 의미합니다. 즉, 말로만 끝나는 것이 아니라 실제 행동으로 옮겨야 할 항목이죠. 액션 아이템은 담당자, 마감 기한, 구체적인 내용 등을 명확히 정의하여 실행 가능성을 높이는 것이 중요합니다."
어레인지	Arrange	"- 투자 유치: 투자자와의 미팅, 투자 조건 협상, 투자 계약 체결 등 투자 유치와 관련된 제반 사항을 준비하고 조율하는 것을 의미합니다. 예를 들어, "투자 유치를 위해 벤처 캐피탈과 미팅 일정을 어레인지하고 있다"와 같이 사용할 수 있습니다.\n- 파트너십 체결: 다른 기업과의 협력 관계 구축, 제휴 계약 체결 등 파트너십과 관련된 제반 사항을 준비하고 조율하는 것을 의미합니다. 예를 들어, "해외 진출을 위해 현지 파트너사와 파트너십을 어레인지하고 있다"와 같이 사용할 수 있습니다.\n- 인력 채용: 채용 공고 작성, 후보자 인터뷰, 채용 조건 협상 등 인력 채용과 관련된 제반 사항을 준비하고 조율하는 것을 의미합니다. 예를 들어, "핵심 개발 인력을 채용하기 위해 헤드헌터와 어레인지하고 있다"와 같이 사용할 수 있습니다.\n- 업무 조정: 팀원 간 업무 분담, 일정 조율, 자원 배분 등 업무와 관련된 제반 사항을 정리하고 조정하는 것을 의미합니다. 예를 들어, "다음 스프린트를 위한 업무를 어레인지하고 있다"와 같이 사용할 수 있습니다.\n- 데이터 정리: 수집된 데이터를 분석 가능한 형태로 가공하고 정리하는 것을 의미합니다. 예를 들어, "사용자 설문 조사 결과를 어레인지하여 보고서를 작성하고 있다"와 같이 사용할 수 있습니다."
얼라인	Align	"팀 또는 조직 구성원들의 개별 목표를 공동의 목표와 일치시키는 과정입니다. 모든 구성원이 같은 방향으로 나아가도록 하는 것이죠."
엑셀러레이터	Accelerator	"액셀러레이터는 초기 단계 스타트업을 발굴하여 짧은 기간 동안 집중적으로 멘토링, 교육, 네트워킹 등을 지원하고 투자하는 기관입니다. 스타트업이 빠르게 성장 궤도에 오를 수 있도록 돕는 '성장 촉진제' 역할을 한다고 생각하시면 됩니다."
엑싯	Exit	"스타트업 엑싯은 투자자가 투자금을 회수하는 것을 의미하며, 스타트업 생태계의 선순환 구조를 완성하는 중요한 과정입니다. 엑싯은 스타트업의 성장과 발전을 의미하는 동시에 투자자에게는 투자 수익을 실현하는 기회를 제공합니다."
엔젤투자자	Angel Investor	"엔젤 투자자는 개인 자격으로 초기 단계 스타트업에 투자하는 사람을 말합니다. 마치 천사(angel)처럼 자금이 부족한 스타트업에 날개를 달아주는 역할을 합니다. 엔젤 투자자는 단순히 자금 지원뿐만 아니라 경험과 노하우를 바탕으로 멘토링, 네트워킹 등 다양한 지원을 제공하기도 합니다."
오프보딩	Off-boarding	"퇴사하는 직원이 회사를 원활하게 떠날 수 있도록 돕는 절차를 의미합니다. 단순히 퇴사 처리를 하는 것뿐만 아니라, 퇴사 직원의 지식과 경험을 회사에 남기고, 회사 자산을 안전하게 회수하며, 긍정적인 퇴사 경험을 제공하는 데 초점을 맞춥니다."
오픈베타	OBT,Open Beta	"오픈 베타는 정식 출시 전에 제품이나 서비스를 불특정 다수에게 공개하여 테스트하는 단계를 의미합니다. 제한된 인원을 대상으로 진행하는 클로즈 베타(Closed Beta)와 달리, 오픈 베타는 누구나 참여할 수 있습니다."
온보딩	On-boarding	"신규 입사자가 회사에 잘 적응하고 빠르게 업무에 기여할 수 있도록 지원하는 모든 과정을 의미합니다. 단순히 회사 정보를 전달하는 것을 넘어, 신규 입사자가 회사 문화에 익숙해지고 동료들과 관계를 형성하며, 자신의 역할과 책임을 이해하도록 돕는 포괄적인 활동입니다."
인큐베이터	Incubator	"스타트업 생태계에서 인큐베이터는 초기 단계 스타트업의 성장을 지원하는 기관 또는 시설을 의미합니다. 마치 병아리가 알에서 부화하도록 돕는 인큐베이터처럼, 스타트업이 성공적으로 사업을 시작하고 성장할 수 있도록 다양한 지원을 제공합니다."
칸반 보드	Kanban Board	"작업 흐름을 시각적으로 표현하는 도구입니다. 칸반(Kanban)은 일본어로 "간판" 또는 "표지판"을 의미하며, 칸반 보드는 이러한 간판들을 활용하여 작업의 진행 상황을 한눈에 파악할 수 있도록 돕습니다."
캡 테이블	Cap Table	"스타트업의 자본 구성을 보여주는 표입니다. 즉, 누가 회사의 주식을 얼마나 소유하고 있는지를 상세하게 기록한 문서라고 할 수 있습니다."
컨버터블 노트	Convertible Note,전환사채	"투자자가 스타트업에 빌려준 돈을 특정 조건에 따라 주식으로 전환할 수 있는 권리가 포함된 채권입니다. 초기 스타트업 투자에 많이 활용되는 방식으로, 기업 가치 평가가 어려운 초기 단계에 투자를 유치하고, 추후 기업 가치가 상승했을 때 투자자에게 이익을 제공하는 장점이 있습니다."
클로즈베타	CBT,Closed Beta	"클로즈 베타는 제품이나 서비스를 정식 출시하기 전에 제한된 인원에게만 공개하여 테스트하는 단계입니다. 오픈 베타와 달리, 클로즈 베타는 특정 조건을 만족하는 사용자 또는 초대받은 사용자만 참여할 수 있습니다."
킥오프	Kick-off	"프로젝트나 새로운 사업, 캠페인 등을 시작하는 첫 회의를 의미합니다. 마치 축구 경기에서 공을 차서 경기를 시작하는 것처럼, 킥오프 회의를 통해 프로젝트의 시작을 알리고 팀원들의 의지를 다지는 자리입니다."
타운홀	Townhall	"타운홀 미팅은 기업의 경영진과 직원들이 한자리에 모여 자유롭게 소통하는 회의입니다. 마을 광장(town hall)에서 주민들이 모여 토론하던 전통에서 유래한 방식으로, 투명한 정보 공유와 의견 수렴을 통해 조직 문화를 개선하고 구성원들의 참여를 독려하는 데 목적이 있습니다."
텀시트	Term Sheet	"텀시트는 스타트업이 투자자로부터 투자를 유치할 때, 투자 조건에 대한 기본적인 합의 내용을 담은 문서입니다. 투자 계약의 기본적인 조건들을 간략하게 정리한 것으로, 법적 구속력은 없지만, 본격적인 투자 계약 협상 전에 양측의 의견을 조율하고 합의점을 찾는 데 중요한 역할을 합니다."
테스크	Task,과업	"특정 목표를 달성하기 위해 수행해야 할 개별적인 작업을 의미합니다. 프로젝트를 구성하는 가장 작은 단위라고 할 수 있으며, 각 테스크는 담당자, 마감 기한, 구체적인 내용 등을 포함합니다."
팀빌딩	Team-Building	"팀원들 간의 협력, 소통, 신뢰를 강화하고 팀워크를 향상시키기 위한 다양한 활동을 의미합니다. 스타트업에서는 특히 중요한데, 작은 규모의 팀이 빠르게 성장하고 변화하는 환경에 적응하려면 팀원 간의 끈끈한 유대감과 협력이 필수적이기 때문입니다."
펀드레이징	Fundraising	"스타트업에서 펀드레이징은 외부 투자자로부터 자금을 조달하는 활동을 의미합니다. 스타트업은 펀드레이징을 통해 사업 확장, 제품 개발, 마케팅 등에 필요한 자금을 확보하고 성장을 가속화할 수 있습니다."
포스트 머니	Post Money	"스타트업이 투자 유치 후 평가되는 기업 가치를 의미합니다. 즉, 투자금이 회사에 유입된 후의 회사 가치를 말합니다."
프리 머니	Pre Money	"프리 머니는 스타트업이 투자 유치 전에 평가되는 기업 가치를 의미합니다. 즉, 투자금이 회사에 유입되기 전의 회사 가치를 말합니다. 프리 머니 밸류에이션은 스타트업의 현재 상태와 미래 성장 가능성을 고려하여 결정됩니다."
플립	Frip	"국내 창업 기업이 본사를 해외로 이전하는 것을 의미합니다."
피봇	Pivot	"사업 방향이나 전략을 수정하는 것을 의미합니다. 마치 체조 선수가 회전하듯, 시장 상황이나 고객 피드백에 맞춰 유연하게 대응하는 것입니다. 피벗은 단순한 변화가 아니라, 기존 아이디어나 비즈니스 모델의 핵심 요소를 유지하면서 새로운 방향으로 전환하는 것을 의미합니다."
피치덱	Pitch Deck	"피치덱은 스타트업이 투자자에게 자신의 사업 아이템을 소개하고 투자를 유치하기 위해 만드는 프레젠테이션 자료입니다. 짧은 시간 안에 투자자의 관심을 끌고 투자를 유도해야 하므로, 핵심 내용을 간결하고 명확하게 전달하는 것이 중요합니다."
As-Is		"As-Is는 현재 상태를 의미합니다. 주로 문제 정의, 개선 프로젝트, 시장 조사 등에서 사용되며, 현재 시스템, 프로세스, 상황 등을 분석하고 파악하는 데 사용됩니다. As-Is 분석을 통해 문제점이나 개선점을 발견하고, To-Be(개선된 목표 상태)를 설정하여 효과적인 전략을 수립할 수 있습니다."
ASAP	As Soon As Possible	"가능한 한 빨리'라는 의미입니다. 스타트업 환경에서는 빠른 실행과 의사 결정이 중요하기 때문에 ASAP은 자주 사용되는 표현입니다."
BEP	Break-Even Point,손익분기점	"총수입과 총비용이 같아져 이익도 손실도 발생하지 않는 매출 수준을 나타냅니다. 즉, BEP를 넘어서는 매출을 달성해야 스타트업이 이익을 내기 시작합니다."
BM	Business model,비즈니스 모델	"기업이 어떻게 가치를 창출하고 수익을 얻는지 보여주는 핵심적인 설계도입니다. 비즈니스 모델은 스타트업의 성공과 실패를 좌우하는 중요한 요소이므로, 탄탄하고 지속 가능한 비즈니스 모델을 구축하는 것이 필수적입니다."
CC	Carbon Copy,참조	"이메일을 보낼 때 주 수신자 외에 참조로 다른 사람을 추가하는 기능입니다. 참조된 사람은 메일 내용을 볼 수 있지만, 직접적인 답변 대상은 아닙니다.\n회의에 참석하지 않지만, 회의 내용을 알아야 하거나 관련 정보를 공유해야 할 사람을 참조로 추가하는 것을 의미합니다. 회의록을 공유하거나 후속 조치를 위해 필요한 경우에 사용됩니다."
due date	마감일,데드라인,납기일	"특정 업무나 프로젝트를 완료해야 하는 시점을 의미합니다. 마감일, 데드라인이라고도 하며, 프로젝트 일정 관리, 업무 효율성 증대, 팀 협업 등에 중요한 역할을 합니다."
F/U	Follow up	"이전에 논의되었거나 진행되었던 일에 대한 후속 조치 또는 추가적인 연락을 의미합니다."
FW	포워드,Forward	"이메일: 받은 이메일을 다른 사람에게 다시 보내는 기능입니다.\n회의 내용 공유: 회의에 참석하지 못한 사람에게 회의 내용을 전달하는 것을 의미합니다.\n정보 공유: 특정 정보나 자료를 다른 사람에게 알려주는 것을 의미합니다."
FYI	For Your Information,FYR,For your reference,참고	"받는 사람에게 특별한 행동이나 답변을 요구하지 않고 단순히 정보를 제공하는 목적으로 사용됩니다."
IPO	기업공개,Intial Public Offering	"기업이 처음으로 주식을 발행하여 일반 대중에게 공개적으로 매각하는 것을 의미합니다. 즉, 비상장 기업이 상장 기업으로 전환되는 과정이죠. 스타트업 입장에서는 대규모 자금 조달의 기회이며, 투자자에게는 투자금 회수 및 수익 실현의 기회가 됩니다."
IR	Investor Relations,투자자 관계	"기업이 투자자와의 관계를 관리하고 소통하는 활동을 의미합니다. 투자자에게 기업 정보를 투명하게 공개하고, 투자자의 의견을 경청하며, 신뢰 관계를 구축하는 것이 목표입니다. 스타트업의 경우, IR은 투자 유치, 기업 가치 제고, 기업 이미지 관리 등에 중요한 역할을 합니다."
J 커브	J curve	"초기 투자 후 시간이 지남에 따라 스타트업의 수익률이 변화하는 추세를 나타내는 그래프입니다. J 커브는 초기에는 투자 비용, 연구 개발 비용 등으로 인해 수익률이 감소하다가, 어느 시점부터 제품/서비스가 시장에 안착하고 매출이 증가하면서 수익률이 급격히 상승하는 모습을 보입니다."
KPI	Key Performance Indicator,핵심 성과 지표	"기업이나 팀의 목표 달성 정도를 측정하는 핵심적인 지표를 의미합니다. 즉, 성과를 객관적으로 평가하고 개선하기 위한 척도라고 할 수 있습니다. KPI는 스타트업의 성장과 발전을 위해 매우 중요한 역할을 합니다."
M&A	Merger and Acquisitions,인수합병	"두 개 이상의 기업이 합쳐져 하나의 기업이 되는 과정을 의미합니다. M&A는 스타트업 생태계에서 매우 중요한 역할을 하며, 기업의 성장과 발전을 위한 전략적인 선택이 될 수 있습니다."
MECE	Mutually Exclusive and Collective Exhaustive	""상호 배타적이며 전체적으로 포괄하는" 개념을 의미합니다. 즉, 어떤 집합을 구성하는 요소들이 서로 중복되지 않으면서(Mutually Exclusive), 전체를 빠짐없이 포함(Collectively Exhaustive)하는 것을 말합니다."
MVP	Minimum Viable Product	"핵심 기능만 갖춘 초기 버전의 제품이나 서비스를 의미합니다. 즉, 완벽하지 않더라도 고객에게 가치를 제공하고, 시장 반응을 확인하기 위한 최소한의 기능을 갖춘 제품을 뜻합니다. 린 스타트업(Lean Startup) 방법론의 핵심 개념 중 하나입니다."
OKR	Object & Key Results,목표와 핵심 결과	"조직, 팀, 개인의 목표를 설정하고 추적하는 목표 관리 프레임워크입니다. 야심찬 목표(Objectives)를 설정하고, 그 목표를 달성하기 위한 구체적인 핵심 결과(Key Results)를 정의하여 성과를 측정하고 관리합니다."
PMF	Product Market Fit,제품 시장 적합성	"제품이나 서비스가 목표 시장의 고객 니즈를 충족시키고, 고객에게 충분한 가치를 제공하는 상태를 의미합니다. 스타트업이 성공하기 위한 가장 중요한 요소 중 하나로, PMF를 달성해야 지속 가능한 성장을 이룰 수 있습니다."
PoC	Proof of Concept,개념 증명	"새로운 아이디어나 기술이 실제로 구현 가능하고 시장에서 성공할 가능성이 있는지 검증하는 단계입니다."
R&R	Role & Responsibility	"프로젝트나 업무 수행에 필요한 각 팀원의 역할과 책임을 명확하게 정의하는 것을 의미합니다."
RE	Reply	"Re(답장) 또는 Regarding(관련하여)의 약자로 사용됩니다. 기존 이메일에 대한 답장을 보낼 때 제목 앞에 Re:를 붙여 어떤 이메일에 대한 답장인지 명확하게 표시합니다. 특정 주제에 대해 이야기하고 싶을 때 Re:를 사용하여 주제를 명확하게 전달합니다."
TF	Task Force,테스크포스	"특정 목표 달성을 위해 다양한 부서나 팀에서 선발된 인원으로 구성되는 임시 조직입니다. 프로젝트 기반으로 운영되며, 목표 달성 후 해체되는 경우가 많습니다."
To-Be		"개선되거나 변화될 미래의 목표 상태를 의미합니다. 주로 문제 해결, 프로젝트 계획, 비즈니스 전략 수립 등에서 사용되며, 현재 상태(As-Is) 분석 결과를 바탕으로 이상적인 미래 상태를 설정하는 데 사용됩니다. To-Be는 스타트업이 목표를 달성하고 성장하기 위한 방향을 제시하는 역할을 합니다."
VP	Vice President,	"일반적으로 특정 분야(예: 엔지니어링, 마케팅, 영업)를 총괄하는 임원을 의미합니다."
WBR	Weekly Business Review,주간 실적 분석	"매주 정기적으로 진행되는 회의로, 팀 또는 회사의 주요 성과 지표(KPI)를 검토하고, 문제점을 파악하며, 개선 방안을 논의하는 자리입니다."
WBS	Work Breakdown Structure,작업 명세 구조도	"프로젝트의 전체 범위를 더 작고 관리 가능한 작업 단위로 분할하는 계층적인 구조를 의미합니다. 프로젝트의 목표를 달성하기 위해 필요한 모든 작업을 체계적으로 정리하고, 각 작업의 상호 관계를 시각적으로 보여주는 도구입니다."
