term	synonyms	meaning
스낵바	Snack bar	"앱 화면 하단에 잠깐 나타났다 사라지는 간단한 메시지 표시 UI 요소입니다. 사용자의 행동에 대한 피드백이나 간단한 알림을 전달하는 데 사용됩니다. 팝업과 비슷하지만, 팝업보다 더 가볍고 일시적인 알림 방식입니다. 팝업은 사용자의 작업을 방해할 수 있지만, 스낵바는 화면 하단에 잠깐 나타났다 사라지므로 사용자의 작업 흐름을 방해하지 않습니다"
스켈레톤	Skeleton	"웹사이트나 앱의 레이아웃과 콘텐츠 구조를 간략하게 보여주는 뼈대 역할을 하는 디자인입니다. 실제 콘텐츠를 채우기 전에 페이지의 틀을 잡고, 각 요소의 배치와 크기를 미리 확인하는 데 사용됩니다. 로딩 시간 동안 스켈레톤 화면을 보여주어 사용자에게 시각적인 피드백을 제공하고, 콘텐츠가 로딩될 때까지 기다리는 동안 지루함을 덜 느끼게 합니다."
스플레시	Splash	"앱 실행 시 가장 처음 나타나는 화면입니다. 보통 앱 로고나 브랜드 이미지를 보여주며, 앱의 첫인상을 결정하는 중요한 요소입니다. 앱이 실행되는 동안 필요한 데이터를 로딩하는 시간 동안 사용자에게 시각적인 피드백을 제공하여 앱이 멈춘 것이 아니라는 것을 알려주는 역할도 합니다."
슬라이더	Slider	" 막대나 원형 트랙을 따라 사용자가 값을 조절할 수 있도록 하는 UI 요소입니다. 음량 조절, 화면 밝기 조절, 사진 필터 강도 조절 등 다양한 용도로 사용됩니다."
알럿	Alert	"웹사이트나 앱에서 사용자에게 중요한 정보나 경고 메시지를 전달하는 팝업 창입니다. 사용자의 작업을 잠시 중단시키고 메시지를 읽도록 유도하며, 보통 확인 버튼을 클릭해야 사라집니다."
액티브	Active	"버튼이 눌리는 순간, 눌렀음을 표시해주는 상태입니다. 대부분 색상을 더 진하거나 연하게 조절하는 형태로 많이 적용합니다."
어피니티 다이어그램	Affinity Diagram	"브레인스토밍이나 사용자 조사 등을 통해 얻은 다양한 아이디어나 데이터를 서로 관련성이 있는 것끼리 묶어 시각적으로 표현하는 도구입니다. 복잡하고 방대한 정보를 체계적으로 정리하고, 숨겨진 패턴이나 문제점을 발견하는 데 도움을 줍니다."
엔드 유저	End User	"제품, 서비스, 시스템 또는 디자인의 최종 사용자를 의미합니다. 즉, 개발자나 디자이너가 아닌 실제로 제품이나 서비스를 사용하는 사람을 말합니다."
온보딩	Onboarding	"새로운 사용자가 웹사이트, 앱, 제품 또는 서비스를 처음 사용할 때 쉽고 빠르게 적응하도록 돕는 과정입니다. 사용자에게 제품이나 서비스의 주요 기능을 소개하고, 사용 방법을 안내하며, 긍정적인 첫인상을 심어주는 것을 목표로 합니다."
온스크린 키보드	OSK,On Screen Keyboard,가상 키보드	"컴퓨터 화면에 표시되는 가상 키보드입니다. 마우스, 터치스크린, 스타일러스 펜 등을 사용하여 화면을 터치하거나 클릭하여 입력할 수 있습니다. 물리적인 키보드가 없거나 사용하기 어려운 상황에서 유용하게 사용됩니다."
와이어프레임	Wireframe	"웹사이트나 앱의 뼈대를 구성하는 설계 도면입니다. 페이지의 레이아웃, 콘텐츠 구성, 기능 배치 등을 시각적으로 보여주지만, 실제 디자인 요소(색상, 이미지, 폰트 등)는 포함하지 않습니다."
위젯	Widget	"앱이나 웹사이트, 바탕 화면 등에 배치되어 특정 기능을 수행하거나 정보를 표시하는 작은 UI 요소입니다. 사용자가 앱을 실행하지 않고도 빠르게 정보를 확인하거나 간단한 작업을 수행할 수 있도록 돕습니다."
유저 플로우	User Flow	"사용자가 웹사이트나 앱을 이용하면서 거치는 과정을 순서대로 나타낸 것입니다. 사용자가 특정 목표를 달성하기 위해 어떤 단계를 거치는지 시각적으로 보여줍니다."
유저 플로우	User flow	"사용자가 웹사이트나 앱을 이용하면서 거치는 과정을 순서대로 나타낸 것입니다. 사용자가 특정 목표를 달성하기 위해 어떤 단계를 거치는지 시각적으로 보여줍니다. 즉, 사용자가 서비스를 이용하면서 어떤 경로로 이동하고 어떤 행동을 하는지 보여주는 지도와 같습니다."
인지적 부하	Cognitive load	"사용자가 정보를 처리하고 이해하는 데 필요한 정신적인 노력의 양을 의미합니다. 웹사이트나 앱을 사용할 때 너무 많은 정보, 복잡한 인터페이스, 어려운 용어 등은 사용자의 인지적 부하를 높여 피로감을 유발하고 사용성을 저해할 수 있습니다."
입력 필드	Input Field,인풋필드	"사용자가 웹사이트나 앱에서 정보를 입력할 수 있도록 제공되는 빈칸 형태의 UI 요소입니다. 텍스트, 숫자, 이메일 주소, 비밀번호 등 다양한 형태의 정보를 입력받을 수 있습니다."
체크박스	Checkbox	"사용자가 여러 항목 중에서 하나 이상을 선택할 수 있도록 하는 UI 요소입니다. 네모 상자 모양으로 되어 있으며, 선택하면 체크 표시(✓)가 나타나고, 선택 해제하면 체크 표시가 사라집니다."
카드 소팅	Card sorting	"사용자가 웹사이트나 앱의 콘텐츠를 어떻게 분류하고 구성하는지 이해하기 위한 사용자 조사 방법입니다. 다양한 콘텐츠 항목을 적은 카드를 사용자에게 제공하고, 사용자가 이 카드들을 자신만의 방식으로 분류하고 그룹화하도록 합니다."
캐러셀	Carousel	"웹사이트나 앱에서 여러 개의 이미지, 콘텐츠 또는 카드를 슬라이드 형태로 보여주는 UI 요소입니다. 제한된 공간에서 다양한 콘텐츠를 효과적으로 보여주고, 사용자의 흥미를 유발하는 데 사용됩니다."
케이스 스터디	Case Study	"특정 개인, 집단, 조직, 프로젝트 등의 사례를 심층적으로 분석하여 문제 해결 과정, 성공 요인, 실패 원인 등을 파악하는 연구 방법입니다. 실제 사례를 통해 이론적인 지식을 현실에 적용하고, 문제 해결 능력을 향상시키는 데 목적이 있습니다."
코치마크	Coach mark	"앱이나 웹사이트에서 사용자가 특정 기능이나 UI 요소를 처음 사용하거나 중요한 기능을 놓치지 않도록 안내하는 시각적인 도움말입니다. 보통 반투명한 레이어나 말풍선 형태로 나타나며, 특정 영역을 강조하거나 간단한 설명 텍스트를 제공합니다."
탭	Tab	"웹사이트나 앱에서 여러 개의 콘텐츠 영역을 구분하고 사용자가 원하는 영역을 선택하여 볼 수 있도록 하는 UI 요소입니다. 여러 개의 탭 버튼이 나열되어 있으며, 각 탭 버튼을 클릭하면 해당 탭에 연결된 콘텐츠 영역이 활성화됩니다."
토스트	Toast	"앱이나 웹사이트 화면에 잠깐 나타났다 사라지는 작은 알림 메시지입니다. 사용자의 행동에 대한 피드백을 제공하거나 간단한 정보를 알려주는 데 사용됩니다."
툴팁	Tooltip	"웹사이트나 앱에서 사용자가 특정 UI 요소에 마우스 커서를 올려놓거나 터치했을 때 나타나는 작은 설명 상자입니다. 해당 요소에 대한 추가 정보를 제공하거나, 기능 설명, 사용 방법 등을 안내하는 데 사용됩니다."
팝업	Pop-up	"웹사이트나 앱 화면 위에 갑자기 나타나는 작은 창입니다. 사용자의 주의를 끌거나 특정 정보를 전달하기 위해 사용됩니다. 팝업은 사용자의 동의 없이 나타나는 경우가 많아 사용자 경험을 해칠 수 있다는 비판도 받습니다."
페르소나	Persona	"제품이나 서비스의 주요 사용자 그룹을 대표하는 가상의 인물입니다. 사용자 조사를 통해 얻은 데이터를 바탕으로 만들어지며, 이름, 나이, 직업, 성격, 관심사, 목표, 행동 패턴 등 구체적인 특징을 가지고 있습니다."
페이지네이션	Pagenation	"웹사이트나 앱에서 많은 양의 콘텐츠를 여러 페이지로 나누어 보여주는 방식입니다. 사용자가 다음 페이지나 이전 페이지로 이동하거나 특정 페이지 번호를 클릭하여 원하는 콘텐츠를 찾을 수 있도록 돕습니다."
페인포인트	Pain-points	"사용자가 제품, 서비스, 또는 특정 상황에서 겪는 불편함, 어려움, 문제점 등을 의미합니다. 즉, 사용자에게 '고통'을 주는 지점이라고 할 수 있습니다."
포커스 그룹	Focus group,FGI	"특정 주제에 대해 토론하고 의견을 나누기 위해 모인 소규모 그룹입니다. 일반적으로 6~10명의 참가자와 숙련된 진행자(모더레이터)가 함께하며, 참가자들은 자유롭게 자신의 경험, 생각, 의견 등을 공유합니다."
푸터	Footer	"웹사이트나 문서의 맨 아래에 위치하는 영역입니다. 주로 웹사이트나 문서에 대한 추가 정보를 제공하거나, 사용자가 다른 페이지로 이동할 수 있도록 링크를 제공하는 역할을 합니다. 웹사이트에선 주로 회사 소개, 연락처 정보, 이용 약관, 개인정보 처리방침, 소셜 미디어 링크 등을 포함합니다."
프로그레스 바	Progress Bar	"작업의 진행 상황을 시각적으로 보여주는 UI 요소입니다. 파일 다운로드, 업로드, 설치, 로딩 등 시간이 걸리는 작업이 진행되는 동안 사용자에게 현재 진행 상황과 남은 시간을 알려줍니다.\n프로그레스 바의 종류는 4가지로 구분할 수 있습니다.\n막대형 프로그레스 바 (Bar Progress Bar): 가장 일반적인 형태로, 막대가 점점 차오르면서 진행 상황을 표시합니다.\n원형 프로그레스 바 (Circular Progress Bar): 원형으로 진행 상황을 표시하며, 주로 로딩 시간이 짧은 작업에 사용됩니다.\n텍스트 프로그레스 바 (Text Progress Bar): 텍스트로 진행 상황을 표시하며, 주로 용량이 큰 파일 다운로드 시 사용됩니다.\n미정 프로그레스 바 (Indeterminate Progress Bar): 작업 완료까지 걸리는 시간을 예측할 수 없는 경우, 움직이는 막대나 점 등을 통해 작업이 진행 중임을 알려줍니다."
프로토타입	Prototype	"디자인의 인터랙션과 기능을 실제로 작동하는 것처럼 구현한 동적인 모델입니다. 웹사이트, 앱, 제품 등의 디자인을 실제로 사용해 보는 것처럼 경험하고 테스트하는 데 사용됩니다."
플레이스홀더	Placeholder	"웹사이트나 앱의 입력 필드에 사용자가 입력하기 전에 미리 표시되는 힌트 텍스트입니다. 입력 필드의 용도나 입력해야 할 정보의 형식을 안내하여 사용자가 쉽게 정보를 입력할 수 있도록 돕습니다."
피츠의 법칙	Fitt's Law	"사용자가 특정 목표물을 선택하는 데 걸리는 시간은 목표물까지의 거리와 목표물의 크기에 따라 달라진다는 법칙입니다. 즉, 목표물이 멀리 있거나 작을수록 선택하는 데 더 많은 시간이 걸리고, 목표물이 가까이 있거나 클수록 선택하는 데 더 적은 시간이 걸립니다."
헤더	Header	"웹사이트나 앱 화면의 맨 위에 위치하는 영역입니다. 주로 웹사이트나 앱의 로고, 메뉴, 검색창, 로그인 버튼 등 주요 기능을 포함하며, 사용자가 웹사이트나 앱을 탐색하고 이용하는 데 필요한 정보를 제공합니다."
호버	Hover,마우스 오버,Mouse Over	"웹사이트나 앱에서 마우스 커서를 특정 요소 위에 올려놓았을 때 발생하는 상호작용 효과입니다. 버튼, 링크, 이미지 등 다양한 요소에 적용되어 시각적인 변화를 주어 사용자에게 피드백을 제공하고 클릭을 유도합니다."
히트맵	Heat Maps	"웹사이트나 앱 화면에서 사용자의 시선이나 클릭, 탭 등의 상호작용이 집중되는 영역을 색상으로 시각화하여 보여주는 분석 도구입니다."
힉스의 법칙	Hick's Law	"사용자가 선택할 수 있는 옵션의 수가 많아질수록 결정하는 데 걸리는 시간이 증가한다는 법칙입니다. 즉, 선택지가 많아질수록 사용자는 더 많은 시간과 노력을 들여 결정해야 하므로 사용자 경험에 부정적인 영향을 줄 수 있습니다."
CTA	Call To Action	"사용자가 웹사이트나 앱에서 특정 행동을 하도록 유도하는 버튼, 링크 또는 메시지를 의미합니다. 즉, 사용자에게 무엇을 해야 하는지 알려주고 클릭하거나 탭 하도록 유도하는 요소입니다."
CX	Customer Experience	"고객이 제품, 서비스, 브랜드와 상호작용하면서 느끼는 총체적인 경험을 의미합니다. 단순히 제품이나 서비스의 기능적인 측면뿐만 아니라, 고객이 상호작용하는 모든 과정에서 느끼는 감정, 인상, 기억 등을 포괄하는 개념입니다."
Dimmed	딤드 처리	" 웹사이트나 앱에서 특정 영역을 어둡게 처리하는 것을 의미합니다. 주로 팝업 창이나 모달 창 등을 띄울 때 배경 화면을 어둡게 하여 사용자의 집중도를 높이고 팝업 내용에 집중하도록 유도하는 데 사용됩니다."
Disabled		"Enabled와 반대되는 개념. 특정 GUI 컨트롤이 일반적으로 조작할 수 없는 상태를 의미합니다. 현재 실행할 수 없는 메뉴 항목, 조작해도 의미 없는 컨트롤은 디스에이블되었다고 말할 수 있습니다."
Fidelity	충실도	"디자인이나 프로토타입이 실제 제품과 얼마나 유사한지를 나타내는 정도입니다. 즉, 디자인의 완성도를 의미하며, 디자인의 세부 사항, 기능, 상호 작용 등이 실제 제품과 얼마나 가까운지를 보여줍니다. Low-fidelity (낮은 충실도)는 손으로 그린 스케치, 간단한 와이어프레임, 흑백 목업 등 초기 단계의 디자인을 의미합니다. 디자인의 핵심 개념과 구조를 빠르게 파악하고 아이디어를 검증하는 데 사용됩니다. High-fidelity (높은 충실도)는 실제 제품과 거의 유사한 수준의 디자인을 의미합니다. 실제 색상, 이미지, 인터랙션 등을 포함하며, 사용성 테스트나 최종 디자인 검토에 활용됩니다."
GUI	Grapic User Interface	"컴퓨터 프로그램을 그림, 아이콘, 버튼 등 시각적인 요소를 이용하여 조작할 수 있도록 만든 화면입니다. 마우스나 터치스크린 등을 이용하여 직관적으로 프로그램을 사용할 수 있게 해줍니다."
HCI	Human Computer Interaction	"람과 컴퓨터가 상호작용하는 방식을 연구하고 디자인하는 분야입니다. 컴퓨터 시스템을 사용자가 편리하고 효율적으로 사용할 수 있도록 사용자의 행동, 인지, 감정 등을 고려하여 인터페이스를 디자인하고 개발하는 것을 목표로 합니다."
IA	Inforamtion Architecture,정보구조도	"웹사이트나 앱의 콘텐츠를 체계적으로 구성하고 분류하는 것을 의미합니다. 사용자가 원하는 정보를 쉽고 빠르게 찾을 수 있도록 콘텐츠를 논리적으로 구조화하고 연결하는 작업입니다."
PPI	Pixels Per Inch	"1인치 안에 들어가는 픽셀의 개수를 의미합니다. 즉, 화면의 픽셀 밀도를 나타내는 단위입니다. PPI가 높을수록 더 많은 픽셀이 1인치 안에 들어가기 때문에 이미지나 텍스트가 더욱 선명하고 세밀하게 표현됩니다."
UT	Usability Testing	"실제 사용자가 디자인된 제품이나 서비스를 사용해보면서 문제점이나 개선점을 발견하는 과정입니다. 사용자의 행동, 반응, 의견 등을 수집하여 디자인의 사용성, 효율성, 만족도 등을 평가하고 개선하는 데 활용됩니다."
